Country,Clicks,Impressions,CTR,Position
Pakistan,5,34,14.71%,8.18
United States,3,2710,0.11%,11.07
India,2,96,2.08%,12.6
Australia,2,53,3.77%,32.15
Spain,1,78,1.28%,17.77
China,1,55,1.82%,6.09
Netherlands,1,40,2.5%,7.67
Philippines,1,32,3.12%,7.59
Poland,1,30,3.33%,9
Thailand,1,20,5%,5.9
South Africa,1,11,9.09%,7.73
Canada,0,189,0%,5.9
Brazil,0,174,0%,7.65
United Kingdom,0,88,0%,27.07
Mexico,0,64,0%,6.56
France,0,52,0%,16.08
Indonesia,0,51,0%,5.24
Germany,0,51,0%,11.67
Colombia,0,35,0%,6.43
Ukraine,0,32,0%,5.19
Vietnam,0,32,0%,8.53
Italy,0,32,0%,8.78
Hong Kong,0,30,0%,8.03
Argentina,0,28,0%,7.18
Russia,0,26,0%,10.04
Iran,0,24,0%,6.42
Japan,0,22,0%,5.73
Turkey,0,21,0%,5.29
Bangladesh,0,20,0%,6.45
Bahamas,0,19,0%,5.79
South Korea,0,18,0%,7.44
Taiwan,0,15,0%,4.53
Singapore,0,15,0%,5.4
Portugal,0,15,0%,6.8
Sweden,0,15,0%,7.93
Denmark,0,15,0%,17.67
Romania,0,14,0%,9.64
Malaysia,0,14,0%,10.14
Ecuador,0,13,0%,6.54
Belgium,0,13,0%,8.92
Switzerland,0,13,0%,14.08
United Arab Emirates,0,12,0%,6.33
Israel,0,11,0%,4.09
Egypt,0,11,0%,6.64
Czechia,0,11,0%,9.82
Dominican Republic,0,9,0%,5.44
Ireland,0,9,0%,5.67
Nigeria,0,9,0%,6.78
Morocco,0,8,0%,4.62
Finland,0,8,0%,6
Norway,0,8,0%,9.88
Algeria,0,8,0%,32.75
Belarus,0,7,0%,3.71
New Zealand,0,7,0%,6
Hungary,0,7,0%,6.57
Slovakia,0,7,0%,6.57
Kenya,0,7,0%,8.71
Peru,0,7,0%,15.71
Chile,0,6,0%,4.33
Uruguay,0,6,0%,4.33
Kazakhstan,0,5,0%,4
Serbia,0,5,0%,5.2
Greece,0,5,0%,5.8
Croatia,0,5,0%,7.8
Venezuela,0,5,0%,8.2
Saudi Arabia,0,5,0%,15
Ghana,0,4,0%,3.5
Bulgaria,0,4,0%,5.25
Bosnia & Herzegovina,0,4,0%,7.75
Iraq,0,4,0%,8
Moldova,0,4,0%,8.25
Latvia,0,4,0%,9
Estonia,0,4,0%,28
Cameroon,0,3,0%,3.67
Lithuania,0,3,0%,5
Slovenia,0,3,0%,5.67
Albania,0,3,0%,6.33
El Salvador,0,3,0%,6.67
Bolivia,0,3,0%,7.33
Panama,0,3,0%,8.67
Palestine,0,3,0%,9
Austria,0,2,0%,2.5
Namibia,0,2,0%,2.5
Mongolia,0,2,0%,3
Macedonia,0,2,0%,4
Tunisia,0,2,0%,4
Bahrain,0,2,0%,4.5
Lebanon,0,2,0%,6
Guadeloupe,0,2,0%,6.5
Ethiopia,0,2,0%,7.5
Jamaica,0,2,0%,8
Kosovo,0,2,0%,8.5
Haiti,0,2,0%,9
Tajikistan,0,2,0%,9.5
Puerto Rico,0,2,0%,11
Costa Rica,0,2,0%,13
Cuba,0,1,0%,1
Kyrgyzstan,0,1,0%,1
St. Lucia,0,1,0%,1
Nicaragua,0,1,0%,1
Jordan,0,1,0%,2
Paraguay,0,1,0%,2
Timor-Leste,0,1,0%,2
Armenia,0,1,0%,3
Libya,0,1,0%,3
St. Martin,0,1,0%,3
Aruba,0,1,0%,4
Kuwait,0,1,0%,4
Nepal,0,1,0%,4
Uganda,0,1,0%,4
Uzbekistan,0,1,0%,4
Afghanistan,0,1,0%,5
Fiji,0,1,0%,5
Côte d’Ivoire,0,1,0%,7
Mozambique,0,1,0%,7
Qatar,0,1,0%,7
Curaçao,0,1,0%,8
Montenegro,0,1,0%,8
Guatemala,0,1,0%,9
North Korea,0,1,0%,9
Brunei,0,1,0%,10
Georgia,0,1,0%,10
Macau,0,1,0%,10
Oman,0,1,0%,10
Turkmenistan,0,1,0%,13
Angola,0,1,0%,16
Sudan,0,1,0%,16
Honduras,0,1,0%,57
