Date,Clicks,Impressions,CTR,Position
2026-02-03,0,0,,
2026-02-04,0,0,,
2026-02-05,2,3,66.67%,4
2026-02-06,2,8,25%,5.4
2026-02-07,0,10,0%,15.7
2026-02-08,0,1,0%,1
2026-02-09,0,2,0%,8.5
2026-02-10,0,4,0%,1.8
2026-02-11,0,4,0%,7.8
2026-02-12,0,11,0%,3.9
2026-02-13,1,5,20%,1.6
2026-02-14,0,0,,
2026-02-15,0,2,0%,7.5
2026-02-16,0,16,0%,4.8
2026-02-17,1,12,8.33%,6.8
2026-02-18,0,5,0%,8.2
2026-02-19,1,7,14.29%,4.1
2026-02-20,1,12,8.33%,4.7
2026-02-21,0,5,0%,24.6
2026-02-22,0,5,0%,35.4
2026-02-23,0,3,0%,10
2026-02-24,0,8,0%,6
2026-02-25,0,15,0%,8.6
2026-02-26,0,7,0%,30.1
2026-02-27,0,6,0%,67.5
2026-02-28,0,7,0%,22.4
2026-03-01,0,14,0%,2.6
2026-03-02,0,5,0%,4
2026-03-03,0,19,0%,16.2
2026-03-04,0,18,0%,21.1
2026-03-05,0,17,0%,24.3
2026-03-06,0,26,0%,32.3
2026-03-07,0,39,0%,17.5
2026-03-08,0,28,0%,23.6
2026-03-09,0,40,0%,5.2
2026-03-10,2,19,10.53%,11.5
2026-03-11,0,15,0%,11.8
2026-03-12,0,55,0%,7.1
2026-03-13,0,34,0%,13.9
2026-03-14,0,26,0%,19.1
2026-03-15,0,18,0%,19.1
2026-03-16,1,27,3.7%,27.5
2026-03-17,0,55,0%,13.3
2026-03-18,0,23,0%,27.9
2026-03-19,0,44,0%,10.7
2026-03-20,0,37,0%,16.9
2026-03-21,0,27,0%,15.1
2026-03-22,0,33,0%,12.5
2026-03-23,1,70,1.43%,9.2
2026-03-24,0,84,0%,13.5
2026-03-25,1,176,0.57%,9.7
2026-03-26,0,162,0%,9.7
2026-03-27,0,147,0%,10.3
2026-03-28,0,198,0%,9.6
2026-03-29,0,195,0%,10.1
2026-03-30,0,292,0%,10
2026-03-31,1,232,0.43%,10.3
2026-04-01,0,175,0%,11.6
2026-04-02,0,194,0%,9.6
2026-04-03,0,209,0%,10.2
2026-04-04,0,202,0%,10.3
2026-04-05,0,224,0%,9.2
2026-04-06,1,240,0.42%,8.9
2026-04-07,2,284,0.7%,8.2
2026-04-08,1,266,0.38%,9.1
2026-04-09,1,244,0.41%,10
2026-04-10,0,240,0%,8.8
2026-04-11,1,224,0.45%,10.1
2026-04-12,0,247,0%,11.3
2026-04-13,1,391,0.26%,12.6
2026-04-14,0,556,0%,11.3
2026-04-15,1,648,0.15%,9.9
2026-04-16,1,603,0.17%,12.7
2026-04-17,1,627,0.16%,12.1
