Country,Clicks,Impressions,CTR,Position
Pakistan,5,27,18.52%,9.26
Australia,2,31,6.45%,27.16
United States,1,1833,0.05%,12.08
Spain,1,49,2.04%,17.8
China,1,41,2.44%,6.51
Philippines,1,26,3.85%,7.96
Poland,1,25,4%,9.48
Thailand,1,12,8.33%,7.08
South Africa,1,5,20%,7
Canada,0,129,0%,5.71
Brazil,0,109,0%,8.28
United Kingdom,0,69,0%,29.96
India,0,63,0%,14.05
Mexico,0,48,0%,6.71
France,0,42,0%,18.43
Indonesia,0,36,0%,4.83
Germany,0,29,0%,13.9
Vietnam,0,23,0%,8.13
Netherlands,0,22,0%,7.86
Italy,0,21,0%,10.57
Colombia,0,19,0%,5.63
Bahamas,0,19,0%,5.79
Hong Kong,0,19,0%,6.84
Ukraine,0,18,0%,4.61
Russia,0,18,0%,11.22
Japan,0,16,0%,4.56
Iran,0,14,0%,6.36
Singapore,0,13,0%,4.38
Bangladesh,0,13,0%,6
Portugal,0,13,0%,7.15
South Korea,0,12,0%,6
Argentina,0,12,0%,8.17
Turkey,0,11,0%,3.82
Taiwan,0,11,0%,4.82
Switzerland,0,10,0%,16.4
Denmark,0,10,0%,20.2
Israel,0,9,0%,4.11
Egypt,0,9,0%,7.11
Belgium,0,9,0%,8.22
Romania,0,9,0%,11
United Arab Emirates,0,8,0%,4.62
Sweden,0,8,0%,7.38
Ecuador,0,7,0%,4.71
Dominican Republic,0,7,0%,5.14
Finland,0,7,0%,5.86
Czechia,0,7,0%,8.57
Malaysia,0,7,0%,15.29
Uruguay,0,6,0%,4.33
Slovakia,0,6,0%,6.5
Norway,0,6,0%,9.67
Morocco,0,5,0%,2.6
Ireland,0,5,0%,5.4
Nigeria,0,5,0%,6
Hungary,0,5,0%,7.4
Croatia,0,5,0%,7.8
Peru,0,5,0%,19.2
Belarus,0,4,0%,3.25
Greece,0,4,0%,5.25
New Zealand,0,4,0%,5.75
Latvia,0,4,0%,9
Venezuela,0,4,0%,9.5
Saudi Arabia,0,4,0%,17
Estonia,0,4,0%,28
Kazakhstan,0,3,0%,2.33
Cameroon,0,3,0%,3.67
Bulgaria,0,3,0%,4.33
Serbia,0,3,0%,5.33
Kenya,0,3,0%,6.67
El Salvador,0,3,0%,6.67
Bolivia,0,3,0%,7.33
Algeria,0,3,0%,76.67
Ghana,0,2,0%,2
Austria,0,2,0%,2.5
Palestine,0,2,0%,3.5
Slovenia,0,2,0%,3.5
Macedonia,0,2,0%,4
Tunisia,0,2,0%,4
Chile,0,2,0%,4.5
Iraq,0,2,0%,5.5
Lithuania,0,2,0%,7
Kosovo,0,2,0%,8.5
Bosnia & Herzegovina,0,2,0%,9
Moldova,0,2,0%,13
Cuba,0,1,0%,1
Kyrgyzstan,0,1,0%,1
Bahrain,0,1,0%,2
Ethiopia,0,1,0%,2
Jordan,0,1,0%,2
Mongolia,0,1,0%,2
Timor-Leste,0,1,0%,2
Armenia,0,1,0%,3
Guadeloupe,0,1,0%,3
Namibia,0,1,0%,3
Aruba,0,1,0%,4
Albania,0,1,0%,4
Kuwait,0,1,0%,4
Nepal,0,1,0%,4
Uganda,0,1,0%,4
Uzbekistan,0,1,0%,4
Afghanistan,0,1,0%,5
Fiji,0,1,0%,5
Jamaica,0,1,0%,5
Lebanon,0,1,0%,5
Haiti,0,1,0%,6
Tajikistan,0,1,0%,6
Mozambique,0,1,0%,7
Panama,0,1,0%,7
Qatar,0,1,0%,7
Curaçao,0,1,0%,8
Montenegro,0,1,0%,8
Guatemala,0,1,0%,9
Georgia,0,1,0%,10
Macau,0,1,0%,10
Oman,0,1,0%,10
Angola,0,1,0%,16
Sudan,0,1,0%,16
Honduras,0,1,0%,57
